Pan francés tipo flauta,kg,"140,13","138,31","1,3"
Pan de mesa,390 g,"115,98","115,43","0,5"
Galletitas dulces envasadas sin relleno,150 g,"57,23","57,57","-0,6"
Galletitas de agua envasadas,250 g,"68,64","67,81","1,2"
Harina de trigo común 000,kg,"42,55","45,17","-5,8"
Arroz blanco simple,kg,"81,76","80,90","1,1"
Fideos secos tipo guisero,500 g,"60,87","61,54","-1,1"
Asado,kg,"528,67","411,27","28,5"
Carne picada común,kg,"300,90","271,41","10,9"
Paleta,kg,"462,44","401,15","15,3"
Cuadril,kg,"564,45","472,95","19,3"
Nalga,kg,"616,98","514,25","20,0"
Hamburguesas congeladas,Env. 4 u,"216,43","220,98","-2,1"
Pollo entero,kg,"154,99","133,55","16,1"
Filet de merluza fresco,kg,"406,71","403,96","0,7"
Salchicha tipo viena,Env. 6 u,"81,51","83,92","-2,9"
Jamón cocido,kg,"700,67","697,15","0,5"
Salchichón,kg,"434,66","435,76","-0,3"
Salame,kg,"968,90","941,63","2,9"
Aceite de girasol,"Bot. 1,5 litros","181,90","177,75","2,3"
Leche fresca entera en sachet,Litro,"57,30","57,45","-0,3"
Leche en polvo entera,800 g,"374,85","373,41","0,4"
Queso cremoso,kg,"428,56","422,89","1,3"
Queso pategrás,kg,"767,84","757,21","1,4"
Queso sardo,kg,"779,93","777,27","0,3"
Manteca,200 g,"128,34","127,42","0,7"
Yogur firme,195 cc,"72,61","75,14","-3,4"
Dulce de leche,400 g,"101,77","102,23","-0,4"
Huevos de gallina,Docena,"126,16","125,86","0,2"
Manzana deliciosa,kg,"185,56","172,76","7,4"
Limón,kg,"133,12","115,99","14,8"
Naranja,kg,"73,49","60,21","22,1"
Banana,kg,"108,33","97,81","10,8"
Batata,kg,"96,44","92,71","4,0"
Papa,kg,"61,10","57,26","6,7"
Cebolla,kg,"56,49","62,18","-9,2"
Lechuga,kg,"113,08","98,34","15,0"
Tomate redondo,kg,"53,77","138,38","-61,1"
Zapallo anco,kg,"99,86","60,64","64,7"
Tomate entero en conserva,Lata 230 g,"82,22","81,45","0,9"
Arvejas secas remojadas,Lata 220 g,"39,98","39,90","0,2"
Azúcar,kg,"66,12","64,48","2,5"
Sal fina,500 g,"41,10","40,99","0,3"
Polvo para flan,8 porciones,"37,80","37,56","0,6"
Gaseosa base cola,"1,5 litros","106,35","107,01","-0,6"
Agua sin gas,"1,5 litros","62,52","62,75","-0,4"
Cerveza en botella,Litro,"112,47","108,23","3,9"
Vino común,Litro,"75,18","73,80","1,9"
Café molido,500 g,"265,53","259,58","2,3"
Yerba mate,500 g,"142,87","137,99","3,5"
Jabón en polvo para ropa,800 g,"128,13","129,90","-1,4"
Detergente líquido,750 cc,"73,04","70,73","3,3"
Jabón en pan,200 g,"48,36","48,02","0,7"
Lavandina,1.000 cc,"54,48","53,95","1,0"
Algodón,100 g,"88,30","86,41","2,2"
Champú,400 cc,"235,93","235,34","0,3"
Desodorante,150 cc,"149,65","148,19","1,0"
Jabón de tocador,125 g,"47,40","47,16","0,5"
Pañales descartables,10 u,"180,04","185,44","-2,9"
10/17
""
