Pan francés tipo flauta,Kg,"207,97","204,32","1,8"
Pan de mesa,390 g,"169,12","166,29","1,7"
Galletitas dulces envasadas sin relleno,150 g,"71,37","69,55","2,6"
Galletitas de agua envasadas,250 g,"94,25","93,10","1,2"
Harina de trigo común 000,Kg,"59,46","59,37","0,2"
Arroz blanco simple,Kg,"114,82","114,43","0,3"
Fideos secos tipo guisero,500 g,"78,44","76,95","1,9"
Asado,Kg,"884,61","763,21","15,9"
Carne picada común,Kg,"507,32","479,86","5,7"
Paleta,Kg,"764,82","702,98","8,8"
Cuadril,Kg,"944,90","853,14","10,8"
Nalga,Kg,"1.022,84","913,00","12,0"
Hamburguesas congeladas,Env. 4 u,"312,95","309,05","1,3"
Pollo entero,Kg,"223,64","217,62","2,8"
Filet de merluza fresco,Kg,"697,30","684,17","1,9"
Salchicha tipo viena,Env. 6 u,"120,21","121,75","-1,3"
Jamón cocido,Kg,"1.089,32","1.021,65","6,6"
Salchichón,Kg,"655,73","641,87","2,2"
Salame,Kg,"1.322,76","1.252,23","5,6"
Aceite de girasol,"Bot. 1,5 litros","296,67","289,30","2,5"
Leche fresca entera en sachet,Litro,"90,29","89,46","0,9"
Leche en polvo entera,800 g,"637,36","615,91","3,5"
Queso cremoso,Kg,"713,08","716,80","-0,5"
Queso pategrás,Kg,"1.294,72","1.279,42","1,2"
Queso sardo,Kg,"1.370,22","1.337,18","2,5"
Manteca,200 g,"209,53","203,11","3,2"
Yogur firme,195 cc,"121,65","111,31","9,3"
Dulce de leche,400 g,"168,55","169,99","-0,8"
Huevos de gallina,Docena,"159,68","155,52","2,7"
Manzana deliciosa,Kg,"184,72","181,45","1,8"
Limón,Kg,"88,46","82,61","7,1"
Naranja,Kg,"64,35","65,72","-2,1"
Banana,Kg,"173,48","172,60","0,5"
Batata,Kg,"85,25","83,15","2,5"
Papa,Kg,"53,71","55,84","-3,8"
Cebolla,Kg,"58,38","57,75","1,1"
Lechuga,Kg,"151,67","161,50","-6,1"
Tomate redondo,Kg,"113,26","139,19","-18,6"
Zapallo anco,Kg,"93,93","99,58","-5,7"
Tomate entero en conserva,Lata 230 g,"86,84","86,15","0,8"
Arvejas secas remojadas,Lata 220 g,"57,45","57,02","0,8"
Azúcar,Kg,"81,71","79,26","3,1"
Sal fina,500 g,"56,88","55,38","2,7"
Polvo para flan,8 porciones,"44,25","43,80","1,0"
Gaseosa base cola,"1,5 litros","143,75","140,48","2,3"
Agua sin gas,"1,5 litros","75,02","73,86","1,6"
Cerveza en botella,Litro,"159,62","155,51","2,6"
Vino común,Litro,"163,25","156,12","4,6"
Café molido,500 g,"457,66","436,94","4,7"
Yerba mate,500 g,"216,78","216,60","0,1"
Jabón en polvo para ropa,800 g,"174,49","170,63","2,3"
Detergente líquido,750 cc,"111,31","104,38","6,6"
Jabón en pan,200 g,"67,96","65,01","4,5"
Lavandina,1.000 cc,"71,05","67,05","6,0"
Algodón,100 g,"121,41","119,16","1,9"
Champú,400 cc,"313,46","305,48","2,6"
Desodorante,150 cc,"235,07","217,59","8,0"
Jabón de tocador,125 g,"69,61","67,78","2,7"
Pañales descartables,10 u,"211,15","214,55","-1,6"
10/16
""
