"",,Pesos,%,
Pan francés tipo flauta,kg,"151,12","145,61","3,8"
Pan de mesa,390 g,"129,12","118,47","9,0"
Galletitas dulces envasadas sin relleno,150 g,"58,83","57,83","1,7"
Galletitas de agua envasadas,250 g,"69,49","67,59","2,8"
Harina de trigo común 000,kg,"45,06","43,62","3,3"
Arroz blanco simple,kg,"81,61","81,53","0,1"
Fideos secos tipo guisero,500 g,"64,04","61,51","4,1"
Asado,kg,"585,51","588,62","-0,5"
Carne picada común,kg,"327,65","313,33","4,6"
Paleta,kg,"519,32","505,24","2,8"
Cuadril,kg,"628,81","622,62","1,0"
Nalga,kg,"665,88","654,45","1,7"
Hamburguesas congeladas,Env. 4 u,"226,4","214,05","5,8"
Pollo entero,kg,"168,6","160,99","4,7"
Filet de merluza fresco,kg,"487,2","465,46","4,7"
Salchicha tipo Viena,Env. 6 u,"90,13","86,82","3,8"
Jamón cocido,kg,"740,67","718,6","3,1"
Salchichón,kg,"447,5","420,28","6,5"
Salame,kg,"994,17","961,42","3,4"
Aceite de girasol,"Bot. 1,5 litros","192,1","190,11","1,0"
Leche fresca entera en sachet,Litro,"62,05",58,"7,0"
Leche en polvo entera,800 g,"424,99","408,98","3,9"
Queso cremoso,kg,"467,14","444,67","5,1"
Queso pategrás,kg,"838,42","786,66","6,6"
Queso sardo,kg,"838,7","804,84","4,2"
Manteca,200 g,"131,99","128,73","2,5"
Yogur firme,195 cc,"68,63","75,65","-9,3"
Dulce de leche,400 g,"100,85","100,29","0,6"
Huevos de gallina,Docena,"127,51","127,31","0,2"
Manzana deliciosa,kg,"195,89","201,39","-2,7"
Limón,kg,"203,29","185,59","9,5"
Naranja,kg,"112,28","90,47","24,1"
Banana,kg,"123,31","117,64","4,8"
Batata,kg,"124,07","109,9","12,9"
Papa,kg,"59,67","59,7","-0,1"
Cebolla,kg,"71,82","62,6","14,7"
Lechuga,kg,"147,89","128,67","14,9"
Tomate redondo,kg,"70,81","51,75","36,8"
Zapallo anco,kg,"65,3","77,6","-15,9"
Tomate entero en conserva,Lata 230 g,"84,57","80,22","5,4"
Arvejas secas remojadas,Lata 220 g,"45,25","41,13","10,0"
Azúcar,kg,"68,58","66,78","2,7"
Sal fina,500 g,"43,4","40,16","8,1"
Polvo para flan,8 porciones,"38,02","37,94","0,2"
Gaseosa base cola,"1,5 litros","114,01","110,91","2,8"
Agua sin gas,"1,5 litros","62,67","60,04","4,4"
Cerveza en botella,Litro,"121,71","116,74","4,3"
Vino común,Litro,"86,54","79,48","8,9"
Café molido,500 g,"274,95","269,43","2,0"
Yerba mate,500 g,"155,71","146,79","6,1"
Jabón en polvo para ropa,800 g,"142,65","130,72","9,1"
Detergente líquido,750 cc,"77,05","75,03","2,7"
Jabón en pan,200 g,"49,41","48,62","1,6"
Lavandina,1.000 cc,"54,75","54,46","0,5"
Algodón,100 g,"89,07","88,93","0,2"
Champú,400 cc,"251,77","243,64","3,3"
Desodorante,150 cc,"158,9","151,31","5,0"
Jabón de tocador,125 g,"50,13","47,08","6,5"
Pañales descartables,10 u,"182,32","181,44","0,5"
12/20
""
