"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Febrero,,Enero,respecto al mes
"",,de 2022,,de 2022,anterior
"",,,Pesos,,%
Pan francés tipo flauta,Kg,"225,82",,"209,92","7,6"
Pan de mesa,390 g,"190,51",,"189,08","0,8"
Galletitas dulces envasadas sin relleno,150 g,"75,73",,"73,27","3,4"
Galletitas de agua envasadas,250 g,"98,55",,"95,26","3,5"
Harina de trigo común 000,Kg,"65,55",,"62,82","4,3"
Arroz blanco simple,Kg,"120,62",,"120,60","0,0"
Fideos secos tipo guisero,500 g,"84,20",,"80,60","4,5"
Asado,Kg,"917,93",,"891,66","2,9"
Carne picada común,Kg,"538,25",,"481,74","11,7"
Paleta,Kg,"833,13",,"773,00","7,8"
Cuadril,Kg,"1012,10",,"949,33","6,6"
Nalga,Kg,"1098,52",,"1019,53","7,7"
Hamburguesas congeladas,Env. 4 u,"324,14",,"315,24","2,8"
Pollo entero,Kg,"240,37",,"229,35","4,8"
Filet de merluza fresco,Kg,"823,89",,"760,98","8,3"
Salchicha tipo Viena,Env. 6 u,"130,47",,"124,21","5,0"
Jamón cocido,Kg,"1177,21",,"1139,91","3,3"
Salchichón,Kg,"702,77",,"676,09","3,9"
Salame,kg,"1413,25",,"1363,18","3,7"
Aceite de girasol,"Bot. 1,5 litros","312,80",,"305,48","2,4"
Leche fresca entera en sachet,Litro,"95,44",,"91,22","4,6"
Leche en polvo entera,800 g,"745,49",,"643,88","15,8"
Queso cremoso,kg,"771,08",,"735,72","4,8"
Queso pategrás,kg,"1411,43",,"1340,60","5,3"
Queso sardo,kg,"1503,65",,"1410,36","6,6"
Manteca,200 g,"222,48",,"211,18","5,4"
Yogur firme,195 cc,"129,14",,"125,59","2,8"
Dulce de leche,400 g,"178,16",,"169,98","4,8"
Huevos de gallina,Docena,"200,45",,"163,58","22,5"
Manzana deliciosa,kg,"223,19",,"201,28","10,9"
Limón,kg,"146,27",,"115,14","27,0"
Naranja,kg,"88,82",,"74,12","19,8"
Banana,kg,"195,05",,"182,37","7,0"
Batata,kg,"93,58",,"92,06","1,7"
Papa,kg,"71,35",,"61,33","16,3"
Cebolla,kg,"84,96",,"64,96","30,8"
Lechuga,kg,"395,83",,"229,16","72,7"
Tomate redondo,kg,"290,45",,"206,33","40,8"
Zapallo anco,kg,"86,70",,"89,60","-3,2"
Tomate entero en conserva,Lata 230 g,"92,18",,"89,14","3,4"
Arvejas secas remojadas,Lata 220 g,"60,94",,"59,97","1,6"
Azúcar,kg,"89,08",,"83,75","6,4"
Sal fina,500 g,"62,49",,"58,72","6,4"
Polvo para flan,8 porciones,"47,53",,"46,16","3,0"
Gaseosa base cola,"1,5 litros","154,10",,"148,64","3,7"
Agua sin gas,"1,5 litros","80,69",,"78,52","2,8"
Cerveza en botella,Litro,"174,90",,"158,94","10,0"
Vino común,Litro,"173,70",,"167,31","3,8"
Café molido,500 g,"509,89",,"485,84","5,0"
Yerba mate,500 g,"239,21",,"225,18","6,2"
Jabón en polvo para ropa,800 g,"189,98",,"184,46","3,0"
Detergente líquido,750 cc,"119,86",,"114,95","4,3"
Jabón en pan,200 g,"78,15",,"70,31","11,2"
Lavandina,1.000 cc,"77,26",,"72,85","6,1"
Algodón,100 g,"129,30",,"126,27","2,4"
Champú,400 cc,"357,14",,"329,29","8,5"
Desodorante,150 cc,"250,52",,"238,33","5,1"
Jabón de tocador,125 g,"77,41",,"73,15","5,8"
Pañales descartables,10 u,"238,31",,"227,89","4,6"
