"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Marzo,,Febrero,Respecto al mes
"",,de 2020,,de 2020,anterior
"",,,Pesos,,%
Pan francés tipo flauta,kg,"116,37",,"112,99","3,0"
Pan de mesa,390 g,"107,72",,"108,59","-0,8"
Galletitas dulces envasadas sin relleno,150 g,"51,22",,"51,54","-0,6"
Galletitas de agua envasadas,250 g,"62,57",,"60,41","3,6"
Harina de trigo común 000,kg,"43,43",,"43,62","-0,4"
Arroz blanco simple,kg,"67,75",,"66,04","2,6"
Fideos secos tipo guisero,500 g,"59,15",,"58,85","0,5"
Asado,kg,"319,66",,"316,52","1,0"
Carne picada común,kg,"214,88",,"209,42","2,6"
Paleta,kg,"311,71",,"303,40","2,7"
Cuadril,kg,"386,83",,"376,13","2,8"
Nalga,kg,"415,79",,"392,10","6,0"
Hamburguesas congeladas,Env. 4 u,"199,22",,"200,97","-0,9"
Pollo entero,kg,"118,62",,"108,47","9,4"
Filet de merluza fresco,kg,"336,21",,"320,32","5,0"
Salchicha tipo viena,Env. 6 u,///,,"76,94",///
Jamón cocido,kg,"540,77",,"521,96","3,6"
Salchichón,kg,"332,58",,"328,56","1,2"
Salame,kg,"696,57",,"679,68","2,5"
Aceite de girasol,"Bot. 1,5 litros","150,46",,"149,44","0,7"
Leche fresca entera en sachet,Litro,"55,72",,"54,01","3,2"
Leche en polvo entera,800 g,///,,"407,65",///
Queso cremoso,kg,"383,79",,"370,00","3,7"
Queso pategrás,kg,"674,03",,"666,10","1,2"
Queso sardo,kg,"728,72",,"705,65","3,3"
Manteca,200 g,"122,21",,"120,96","1,0"
Yogur firme,195 cc,"64,51",,"63,22","2,0"
Dulce de leche,400 g,"97,35",,"96,49","0,9"
Huevos de gallina,Docena,"97,66",,"96,04","1,7"
Manzana deliciosa,kg,"77,97",,"76,97","1,3"
Limón,kg,"59,76",,"66,81","-10,6"
Naranja,kg,"34,91",,"30,27","15,3"
Banana,kg,"92,98",,"89,56","3,8"
Batata,kg,"39,52",,"42,17","-6,3"
Papa,kg,"32,84",,"33,23","-1,2"
Cebolla,kg,"32,22",,"35,14","-8,3"
Lechuga,kg,"115,29",,"107,42","7,3"
Tomate redondo,kg,"77,14",,"52,95","45,7"
Zapallo anco,kg,"35,18",,"37,93","-7,3"
Tomate entero en conserva,Lata 230 g,"53,03",,"52,18","1,6"
Arvejas secas remojadas,Lata 220 g,"33,59",,"33,23","1,1"
Azúcar,kg,"61,83",,"56,99","8,5"
Sal fina,500 g,"37,91",,"37,37","1,4"
Polvo para flan,8 porciones,"36,77",,"35,78","2,8"
Gaseosa base cola,"1,5 litros","95,92",,"94,11","1,9"
Agua sin gas,"1,5 litros","53,57",,"53,55","0,0"
Cerveza en botella,Litro,"98,55",,"100,12","-1,6"
Vino común,Litro,"64,12",,"63,33","1,2"
Café molido,500 g,"242,82",,"238,69","1,7"
Yerba mate,500 g,"114,50",,"112,50","1,8"
Jabón en polvo para ropa,800 g,"122,10",,"122,03","0,1"
Detergente líquido,750 cc,"65,34",,"64,91","0,7"
Jabón en pan,200 g,"42,53",,"42,10","1,0"
Lavandina,1.000 cc,"48,45",,"47,71","1,6"
Algodón,100 g,"78,11",,"75,03","4,1"
Champú,400 cc,"216,30",,"213,60","1,3"
Desodorante,150 cc,"130,64",,"129,76","0,7"
Jabón de tocador,125 g,"41,96",,"40,60","3,3"
Pañales descartables,10 u,"156,37",,"155,59","0,5"
