"",,Pesos,%,
Pan francés tipo flauta,kg,"157,27","151,12","4,1"
Pan de mesa,390 g,"134,40","129,12","4,1"
Galletitas dulces envasadas sin relleno,150 g,"59,36","58,83","0,9"
Galletitas de agua envasadas,250 g,"72,68","69,49","4,6"
Harina de trigo común 000,kg,"45,12","45,06","0,1"
Arroz blanco simple,kg,"84,36","81,61","3,4"
Fideos secos tipo guisero,500 g,"66,86","64,04","4,4"
Asado,kg,"617,47","585,51","5,5"
Carne picada común,kg,"355,55","327,65","8,5"
Paleta,kg,"563,56","519,32","8,5"
Cuadril,kg,"671,99","628,81","6,9"
Nalga,kg,"725,26","665,88","8,9"
Hamburguesas congeladas,Env. 4 u,"245,61","226,40","8,5"
Pollo entero,kg,"175,11","168,60","3,9"
Filet de merluza fresco,kg,"516,57","487,20","6,0"
Salchicha tipo Viena,Env. 6 u,"94,77","90,13","5,1"
Jamón cocido,kg,"766,37","740,67","3,5"
Salchichón,kg,"466,32","447,50","4,2"
Salame,kg,"1063,54","994,17","7,0"
Aceite de girasol,"Bot. 1,5 litros","202,19","192,10","5,3"
Leche fresca entera en sachet,Litro,"69,52","62,05","12,0"
Leche en polvo entera,800 g,"459,17","424,99","8,0"
Queso cremoso,kg,"540,78","467,14","15,8"
Queso pategrás,kg,"910,84","838,42","8,6"
Queso sardo,kg,"955,35","838,70","13,9"
Manteca,200 g,"141,28","131,99","7,0"
Yogur firme,195 cc,"76,04","68,63","10,8"
Dulce de leche,400 g,"102,03","100,85","1,2"
Huevos de gallina,Docena,"130,07","127,51","2,0"
Manzana deliciosa,kg,"184,29","195,89","-5,9"
Limón,kg,"158,89","203,29","-21,8"
Naranja,kg,"114,89","112,28","2,3"
Banana,kg,"127,98","123,31","3,8"
Batata,kg,"110,65","124,07","-10,8"
Papa,kg,"55,86","59,67","-6,4"
Cebolla,kg,"73,76","71,82","2,7"
Lechuga,kg,"172,89","147,89","16,9"
Tomate redondo,kg,"96,86","70,81","36,8"
Zapallo anco,kg,"58,36","65,30","-10,6"
Tomate entero en conserva,Lata 230 g,"80,77","84,57","-4,5"
Arvejas secas remojadas,Lata 220 g,"46,69","45,25","3,2"
Azúcar,kg,"69,00","68,58","0,6"
Sal fina,500 g,"42,02","43,40","-3,2"
Polvo para flan,8 porciones,"38,24","38,02","0,6"
Gaseosa base cola,"1,5 litros","115,15","114,01","1,0"
Agua sin gas,"1,5 litros","59,45","62,67","-5,1"
Cerveza en botella,Litro,"126,47","121,71","3,9"
Vino común,Litro,"91,23","86,54","5,4"
Café molido,500 g,"271,63","274,95","-1,2"
Yerba mate,500 g,"160,38","155,71","3,0"
Jabón en polvo para ropa,800 g,"149,95","142,65","5,1"
Detergente líquido,750 cc,"79,52","77,05","3,2"
Jabón en pan,200 g,"50,17","49,41","1,5"
Lavandina,1.000 cc,"54,98","54,75","0,4"
Algodón,100 g,"91,51","89,07","2,7"
Champú,400 cc,"258,01","251,77","2,5"
Desodorante,150 cc,"164,63","158,90","3,6"
Jabón de tocador,125 g,"51,19","50,13","2,1"
Pañales descartables,10 u,"183,63","182,32","0,7"
12/20
""
