"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Marzo,,Febrero,respecto al mes
"",,de 2022,,de 2022,anterior
"",,,Pesos,,%
Pan francés tipo flauta,Kg,"265,71",,"225,82","17,7"
Pan de mesa,390 g,"237,67",,"190,51","24,8"
Galletitas dulces envasadas sin relleno,150 g,"79,44",,"75,73","4,9"
Galletitas de agua envasadas,250 g,"103,67",,"98,55","5,2"
Harina de trigo común 000,Kg,"74,22",,"65,55","13,2"
Arroz blanco simple,Kg,"124,50",,"120,62","3,2"
Fideos secos tipo guisero,500 g,"93,18",,"84,20","10,7"
Asado,Kg,"971,19",,"917,93","5,8"
Carne picada común,Kg,"559,84",,"538,25","4,0"
Paleta,Kg,"898,84",,"833,13","7,9"
Cuadril,Kg,"1092,08",,"1012,10","7,9"
Nalga,Kg,"1184,11",,"1098,52","7,8"
Hamburguesas congeladas,Env. 4 u,"342,46",,"324,14","5,7"
Pollo entero,Kg,"276,59",,"240,37","15,1"
Filet de merluza fresco,Kg,"857,13",,"823,89","4,0"
Salchicha tipo Viena,Env. 6 u,"135,82",,"130,47","4,1"
Jamón cocido,Kg,"1238,08",,"1177,21","5,2"
Salchichón,Kg,"718,96",,"702,77","2,3"
Salame,kg,"1478,28",,"1413,25","4,6"
Aceite de girasol,"Bot. 1,5 litros","309,79",,"312,80","-1,0"
Leche fresca entera en sachet,Litro,"108,75",,"95,44","13,9"
Leche en polvo entera,800 g,"769,27",,"745,49","3,2"
Queso cremoso,kg,"871,94",,"771,08","13,1"
Queso pategrás,kg,"1507,98",,"1411,43","6,8"
Queso sardo,kg,"1619,14",,"1503,65","7,7"
Manteca,200 g,"245,27",,"222,48","10,2"
Yogur firme,195 cc,"133,41",,"129,14","3,3"
Dulce de leche,400 g,"181,75",,"178,16","2,0"
Huevos de gallina,Docena,"243,77",,"200,45","21,6"
Manzana deliciosa,kg,"221,48",,"223,19","-0,8"
Limón,kg,"157,61",,"146,27","7,8"
Naranja,kg,"96,32",,"88,82","8,4"
Banana,kg,"184,32",,"195,05","-5,5"
Batata,kg,"90,14",,"93,58","-3,7"
Papa,kg,"67,24",,"71,35","-5,8"
Cebolla,kg,"84,77",,"84,96","-0,2"
Lechuga,kg,"286,60",,"395,83","-27,6"
Tomate redondo,kg,"258,72",,"290,45","-10,9"
Zapallo anco,kg,"80,13",,"86,70","-7,6"
Tomate entero en conserva,Lata 230 g,"95,52",,"92,18","3,6"
Arvejas secas remojadas,Lata 220 g,"62,19",,"60,94","2,1"
Azúcar,kg,"98,46",,"89,08","10,5"
Sal fina,500 g,"63,20",,"62,49","1,1"
Polvo para flan,8 porciones,"48,24",,"47,53","1,5"
Gaseosa base cola,"1,5 litros","158,92",,"154,10","3,1"
Agua sin gas,"1,5 litros","88,03",,"80,69","9,1"
Cerveza en botella,Litro,"182,87",,"174,90","4,6"
Vino común,Litro,"185,68",,"173,70","6,9"
Café molido,500 g,"606,69",,"509,89","19,0"
Yerba mate,500 g,"249,24",,"239,21","4,2"
Jabón en polvo para ropa,800 g,"197,53",,"189,98","4,0"
Detergente líquido,750 cc,"130,13",,"119,86","8,6"
Jabón en pan,200 g,"82,79",,"78,15","5,9"
Lavandina,1.000 cc,"80,48",,"77,26","4,2"
Algodón,100 g,"135,91",,"129,30","5,1"
Champú,400 cc,"377,62",,"357,14","5,7"
Desodorante,150 cc,"264,12",,"250,52","5,4"
Jabón de tocador,125 g,"82,17",,"77,41","6,1"
Pañales descartables,10 u,"249,98",,"238,31","4,9"
