"",,Pesos,%,
Pan francés tipo flauta,Kg,"164,72","157,27","4,7"
Pan de mesa,390 g,"138,72","134,40","3,2"
Galletitas dulces envasadas sin relleno,150 g,"59,92","59,36","0,9"
Galletitas de agua envasadas,250 g,"75,75","72,68","4,2"
Harina de trigo común 000,Kg,"46,40","45,12","2,8"
Arroz blanco simple,Kg,"96,38","84,36","14,2"
Fideos secos tipo guisero,500 g,"68,87","66,86","3,0"
Asado,Kg,"634,88","617,47","2,8"
Carne picada común,Kg,"372,64","355,55","4,8"
Paleta,Kg,"589,92","563,56","4,7"
Cuadril,Kg,"717,50","671,99","6,8"
Nalga,Kg,"756,65","725,26","4,3"
Hamburguesas congeladas,Env. 4 u,"278,67","245,61","13,5"
Pollo entero,Kg,"178,41","175,11","1,9"
Filet de merluza fresco,Kg,"561,51","516,57","8,7"
Salchicha tipo Viena,Env. 6 u,"103,09","94,77","8,8"
Jamón cocido,Kg,"808,11","766,37","5,4"
Salchichón,Kg,"481,83","466,32","3,3"
Salame,kg,"1.060,98","1.063,54","-0,2"
Aceite de girasol,"Bot. 1,5 litros","220,95","202,19","9,3"
Leche fresca entera en sachet,Litro,"76,35","69,52","9,8"
Leche en polvo entera,800 g,"471,51","459,17","2,7"
Queso cremoso,kg,"591,20","540,78","9,3"
Queso pategrás,kg,"1.025,85","910,84","12,6"
Queso sardo,kg,"1.091,19","955,35","14,2"
Manteca,200 g,"167,03","141,28","18,2"
Yogur firme,195 cc,"78,54","76,04","3,3"
Dulce de leche,400 g,"124,89","102,03","22,4"
Huevos de gallina,Docena,"133,46","130,07","2,6"
Manzana deliciosa,kg,"170,45","184,29","-7,5"
Limón,kg,"127,21","158,89","-19,9"
Naranja,kg,"130,50","114,89","13,6"
Banana,kg,"126,25","127,98","-1,4"
Batata,kg,"88,61","110,65","-19,9"
Papa,kg,"54,35","55,86","-2,7"
Cebolla,kg,"67,57","73,76","-8,4"
Lechuga,kg,"203,92","172,89","17,9"
Tomate redondo,kg,"85,09","96,86","-12,2"
Zapallo anco,kg,"58,50","58,36","0,2"
Tomate entero en conserva,Lata 230 g,"77,57","80,77","-4,0"
Arvejas secas remojadas,Lata 220 g,"49,36","46,69","5,7"
Azúcar,kg,"69,64","69,00","0,9"
Sal fina,500 g,"48,86","42,02","16,3"
Polvo para flan,8 porciones,"38,76","38,24","1,4"
Gaseosa base cola,"1,5 litros","118,74","115,15","3,1"
Agua sin gas,"1,5 litros","62,30","59,45","4,8"
Cerveza en botella,Litro,"130,10","126,47","2,9"
Vino común,Litro,"107,54","91,23","17,9"
Café molido,500 g,"295,12","271,63","8,6"
Yerba mate,500 g,"175,93","160,38","9,7"
Jabón en polvo para ropa,800 g,"151,82","149,95","1,2"
Detergente líquido,750 cc,"81,83","79,52","2,9"
Jabón en pan,200 g,"50,39","50,17","0,4"
Lavandina,1.000 cc,"55,79","54,98","1,5"
Algodón,100 g,"95,02","91,51","3,8"
Champú,400 cc,"267,08","258,01","3,5"
Desodorante,150 cc,"169,15","164,63","2,7"
Jabón de tocador,125 g,"52,28","51,19","2,1"
Pañales descartables,10 u,"194,66","183,63","6,0"
12/20
""
