"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Abril,,Marzo,respecto al mes
"",,de 2022,,de 2022,anterior
"",,,Pesos,,%
Pan francés tipo flauta,Kg,"295,24",,"265,71","11,1"
Pan de mesa,390 g,"256,17",,"237,67","7,8"
Galletitas dulces envasadas sin relleno,150 g,"83,21",,"79,44","4,7"
Galletitas de agua envasadas,250 g,"114,38",,"103,67","10,3"
Harina de trigo común 000,Kg,"86,18",,"74,22","16,1"
Arroz blanco simple,Kg,"127,08",,"124,5","2,1"
Fideos secos tipo guisero,500 g,"100,91",,"93,18","8,3"
Asado,Kg,"1.022,16",,"971,19","5,2"
Carne picada común,Kg,"614,62",,"559,84","9,8"
Paleta,Kg,"975,31",,"898,84","8,5"
Cuadril,Kg,"1.176,19",,"1.092,08","7,7"
Nalga,Kg,"1.276,21",,"1.184,11","7,8"
Hamburguesas congeladas,Env. 4 u,"385,59",,"342,46","12,6"
Pollo entero,Kg,"310,00",,"276,59","12,1"
Filet de merluza fresco,Kg,"1.003,68",,"857,13","17,1"
Salchicha tipo Viena,Env. 6 u,"147,29",,"135,82","8,4"
Jamón cocido,Kg,"1.263,97",,"1.238,08","2,1"
Salchichón,Kg,"752,13",,"718,96","4,6"
Salame,kg,"1.595,89",,"1.478,28","8,0"
Aceite de girasol,"Bot. 1,5 litros","351,67",,"309,79","13,5"
Leche fresca entera en sachet,Litro,"117,50",,"108,75","8,0"
Leche en polvo entera,800 g,"764,62",,"769,27","-0,6"
Queso cremoso,kg,"946,28",,"871,94","8,5"
Queso pategrás,kg,"1.601,25",,"1.507,98","6,2"
Queso sardo,kg,"1.735,16",,"1.619,14","7,2"
Manteca,200 g,"265,38",,"245,27","8,2"
Yogur firme,195 cc,"145,33",,"133,41","8,9"
Dulce de leche,400 g,"191,93",,"181,75","5,6"
Huevos de gallina,Docena,"263,81",,"243,77","8,2"
Manzana deliciosa,kg,"227,93",,"221,48","2,9"
Limón,kg,"132,86",,"157,61","-15,7"
Naranja,kg,"100,02",,"96,32","3,8"
Banana,kg,"184,59",,"184,32","0,1"
Batata,kg,"91,26",,"90,14","1,2"
Papa,kg,"68,20",,"67,24","1,4"
Cebolla,kg,"90,86",,"84,77","7,2"
Lechuga,kg,"266,11",,"286,6","-7,1"
Tomate redondo,kg,"192,78",,"258,72","-25,5"
Zapallo anco,kg,"82,15",,"80,13","2,5"
Tomate entero en conserva,Lata 230 g,"98,68",,"95,52","3,3"
Arvejas secas remojadas,Lata 220 g,"63,60",,"62,19","2,3"
Azúcar,kg,"110,09",,"98,46","11,8"
Sal fina,500 g,"67,77",,"63,2","7,2"
Polvo para flan,8 porciones,"50,63",,"48,24","5,0"
Gaseosa base cola,"1,5 litros","162,63",,"158,92","2,3"
Agua sin gas,"1,5 litros","88,62",,"88,03","0,7"
Cerveza en botella,Litro,"194,36",,"182,87","6,3"
Vino común,Litro,"206,89",,"185,68","11,4"
Café molido,500 g,"639,71",,"606,69","5,4"
Yerba mate,500 g,"274,13",,"249,24","10,0"
Jabón en polvo para ropa,800 g,"212,79",,"197,53","7,7"
Detergente líquido,750 cc,"139,97",,"130,13","7,6"
Jabón en pan,200 g,"89,71",,"82,79","8,4"
Lavandina,1.000 cc,"89,65",,"80,48","11,4"
Algodón,100 g,"145,88",,"135,91","7,3"
Champú,400 cc,"404,03",,"377,62","7,0"
Desodorante,150 cc,"278,65",,"264,12","5,5"
Jabón de tocador,125 g,"89,85",,"82,17","9,3"
Pañales descartables,10 u,"259,30",,"249,98","3,7"
