"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Mayo,,Abril,respecto al mes
"",,de 2022,,de 2022,anterior
"",,,Pesos,,%
Pan francés tipo flauta,Kg,"301,62",,"295,24","2,2"
Pan de mesa,390 g,"258,91",,"256,17","1,1"
Galletitas dulces envasadas sin relleno,150 g,"86,76",,"83,21","4,3"
Galletitas de agua envasadas,250 g,"123,14",,"114,38","7,7"
Harina de trigo común 000,Kg,"95,25",,"86,18","10,5"
Arroz blanco simple,Kg,"131,18",,"127,08","3,2"
Fideos secos tipo guisero,500 g,"108,12",,"100,91","7,1"
Asado,Kg,"1.078,24",,"1.022,16","5,5"
Carne picada común,Kg,"664,87",,"614,62","8,2"
Paleta,Kg,"1.039,77",,"975,31","6,6"
Cuadril,Kg,"1.263,76",,"1.176,19","7,4"
Nalga,Kg,"1.340,27",,"1.276,21","5,0"
Hamburguesas congeladas,Env. 4 u,"429,65",,"385,59","11,4"
Pollo entero,Kg,"335,82",,"310,00","8,3"
Filet de merluza fresco,Kg,"994,96",,"1.003,68","-0,9"
Salchicha tipo Viena,Env. 6 u,"148,49",,"147,29","0,8"
Jamón cocido,Kg,"1.323,53",,"1.263,97","4,7"
Salchichón,Kg,"781,40",,"752,13","3,9"
Salame,kg,"1.641,66",,"1.595,89","2,9"
Aceite de girasol,"Bot. 1,5 litros","370,71",,"351,67","5,4"
Leche fresca entera en sachet,Litro,"125,69",,"117,50","7,0"
Leche en polvo entera,800 g,"851,48",,"764,62","11,4"
Queso cremoso,kg,"993,61",,"946,28","5,0"
Queso pategrás,kg,"1.736,12",,"1.601,25","8,4"
Queso sardo,kg,"1.852,24",,"1.735,16","6,7"
Manteca,200 g,"286,19",,"265,38","7,8"
Yogur firme,195 cc,"145,24",,"145,33","-0,1"
Dulce de leche,400 g,"201,79",,"191,93","5,1"
Huevos de gallina,Docena,"268,24",,"263,81","1,7"
Manzana deliciosa,kg,"238,30",,"227,93","4,5"
Limón,kg,"109,35",,"132,86","-17,7"
Naranja,kg,"96,67",,"100,02","-3,3"
Banana,kg,"192,91",,"184,59","4,5"
Batata,kg,"90,81",,"91,26","-0,5"
Papa,kg,"71,28",,"68,20","4,5"
Cebolla,kg,"106,92",,"90,86","17,7"
Lechuga,kg,"254,79",,"266,11","-4,3"
Tomate redondo,kg,"180,83",,"192,78","-6,2"
Zapallo anco,kg,"81,18",,"82,15","-1,2"
Tomate entero en conserva,Lata 230 g,"100,93",,"98,68","2,3"
Arvejas secas remojadas,Lata 220 g,"65,27",,"63,60","2,6"
Azúcar,kg,"123,16",,"110,09","11,9"
Sal fina,500 g,"69,39",,"67,77","2,4"
Polvo para flan,8 porciones,"51,90",,"50,63","2,5"
Gaseosa base cola,"1,5 litros","170,34",,"162,63","4,7"
Agua sin gas,"1,5 litros","91,86",,"88,62","3,7"
Cerveza en botella,Litro,"207,24",,"194,36","6,6"
Vino común,Litro,"223,37",,"206,89","8,0"
Café molido,500 g,"682,28",,"639,71","6,7"
Yerba mate,500 g,"294,12",,"274,13","7,3"
Jabón en polvo para ropa,800 g,"228,60",,"212,79","7,4"
Detergente líquido,750 cc,"150,47",,"139,97","7,5"
Jabón en pan,200 g,"96,09",,"89,71","7,1"
Lavandina,1.000 cc,"94,02",,"89,65","4,9"
Algodón,100 g,"158,24",,"145,88","8,5"
Champú,400 cc,"426,36",,"404,03","5,5"
Desodorante,150 cc,"290,79",,"278,65","4,4"
Jabón de tocador,125 g,"94,54",,"89,85","5,2"
Pañales descartables,10 u,"263,94",,"259,30","1,8"
