"",,Pesos,%,
Pan francés tipo flauta,Kg,"182,91","172,29","6,2"
Pan de mesa,390 g,"147,85","142,76","3,6"
Galletitas dulces envasadas sin relleno,150 g,"61,77","60,87","1,5"
Galletitas de agua envasadas,250 g,"80,40","76,28","5,4"
Harina de trigo común 000,Kg,"50,94","49,51","2,9"
Arroz blanco simple,Kg,"111,68","108,97","2,5"
Fideos secos tipo guisero,500 g,"71,16","69,45","2,5"
Asado,Kg,"682,22","664,77","2,6"
Carne picada común,Kg,"427,82","407,23","5,1"
Paleta,Kg,"679,28","629,25","8,0"
Cuadril,Kg,"798,64","758,23","5,3"
Nalga,Kg,"839,06","801,47","4,7"
Hamburguesas congeladas,Env. 4 u,"273,78","279,71","-2,1"
Pollo entero,Kg,"190,58","180,57","5,5"
Filet de merluza fresco,Kg,"631,60","578,13","9,2"
Salchicha tipo Viena,Env. 6 u,"100,54","104,15","-3,5"
Jamón cocido,Kg,"842,78","816,70","3,2"
Salchichón,Kg,"499,81","501,65","-0,4"
Salame,Kg,"1.098,53","1.084,90","1,3"
Aceite de girasol,"Bot. 1,5 litros","240,69","233,35","3,1"
Leche fresca entera en sachet,Litro,"84,10","77,21","8,9"
Leche en polvo entera,800 g,"Kg509,34","487,68","4,4"
Queso cremoso,Kg,"655,30","622,96","5,2"
Queso pategrás,Kg,"1.142,73","1.087,92","5,0"
Queso sardo,Kg,"1.225,32","1.164,80","5,2"
Manteca,200 g,"181,94","173,59","4,8"
Yogur firme,195 cc,"82,16","76,68","7,1"
Dulce de leche,400 g,"144,76","133,55","8,4"
Huevos de gallina,Docena,"138,47","134,99","2,6"
Manzana deliciosa,Kg,"164,77","164,73","0,0"
Limón,Kg,"88,09","108,96","-19,2"
Naranja,Kg,"76,31","93,25","-18,2"
Banana,Kg,"125,61","124,78","0,7"
Batata,Kg,"81,28","80,60","0,8"
Papa,Kg,"53,33","55,95","-4,7"
Cebolla,Kg,"57,81","63,40","-8,8"
Lechuga,Kg,"156,24","168,23","-7,1"
Tomate redondo,Kg,"106,90","116,75","-8,4"
Zapallo anco,Kg,"54,60","56,16","-2,8"
Tomate entero en conserva,Lata 230 g,"77,32","78,37","-1,3"
Arvejas secas remojadas,Lata 220 g,"50,32","49,70","1,2"
Azúcar,Kg,"70,96","69,58","2,0"
Sal fina,500 g,"49,20","48,98","0,4"
Polvo para flan,8 porciones,"40,91","39,83","2,7"
Gaseosa base cola,"1,5 litros","126,68","123,38","2,7"
Agua sin gas,"1,5 litros","64,18","62,16","3,2"
Cerveza en botella,Litro,"137,77","132,61","3,9"
Vino común,Litro,"121,42","112,41","8,0"
Café molido,500 g,"317,66","299,32","6,1"
Yerba mate,500 g,"190,03","184,25","3,1"
Jabón en polvo para ropa,800 g,"155,08","152,17","1,9"
Detergente líquido,750 cc,"88,24","84,60","4,3"
Jabón en pan,200 g,"52,79","51,40","2,7"
Lavandina,1.000 cc,"56,83","56,15","1,2"
Algodón,100 g,"103,47","98,62","4,9"
Champú,400 cc,"272,73","274,39","-0,6"
Desodorante,150 cc,"194,67","186,35","4,5"
Jabón de tocador,125 g,"54,21","53,41","1,5"
Pañales descartables,10 u,"204,89","203,14","0,9"
12/20
""
