"",,Pesos,%,
Pan francés tipo flauta,Kg,"185,12","182,91","1,2"
Pan de mesa,390 g,"153,82","147,85","4,0"
Galletitas dulces envasadas sin relleno,150 g,"64,46","61,77","4,4"
Galletitas de agua envasadas,250 g,"83,04","80,40","3,3"
Harina de trigo común 000,Kg,"52,71","50,94","3,5"
Arroz blanco simple,Kg,"111,74","111,68","0,1"
Fideos secos tipo guisero,500 g,"73,69","71,16","3,6"
Asado,Kg,"678,73","682,22","-0,5"
Carne picada común,Kg,"429,77","427,82","0,5"
Paleta,Kg,"675,94","679,28","-0,5"
Cuadril,Kg,"791,63","798,64","-0,9"
Nalga,Kg,"827,70","839,06","-1,4"
Hamburguesas congeladas,Env. 4 u,"289,96","273,78","5,9"
Pollo entero,Kg,"193,66","190,58","1,6"
Filet de merluza fresco,Kg,"653,02","631,60","3,4"
Salchicha tipo Viena,Env. 6 u,"104,69","100,54","4,1"
Jamón cocido,Kg,"855,68","842,78","1,5"
Salchichón,Kg,"516,23","499,81","3,3"
Salame,Kg,"1.113,77","1.098,53","1,4"
Aceite de girasol,"Bot. 1,5 litros","251,84","240,69","4,6"
Leche fresca entera en sachet,Litro,"84,92","84,10","1,0"
Leche en polvo entera,800 g,"549,38","509,34","7,9"
Queso cremoso,Kg,"672,43","655,30","2,6"
Queso pategrás,Kg,"1.218,01","1.142,73","6,6"
Queso sardo,Kg,"1.220,52","1.225,32","-0,4"
Manteca,200 g,"189,76","181,94","4,3"
Yogur firme,195 cc,"91,12","82,16","10,9"
Dulce de leche,400 g,"158,50","144,76","9,5"
Huevos de gallina,Docena,"146,48","138,47","5,8"
Manzana deliciosa,Kg,"166,23","164,77","0,9"
Limón,Kg,"74,86","88,09","-15,0"
Naranja,Kg,"67,79","76,31","-11,2"
Banana,Kg,"123,00","125,61","-2,1"
Batata,Kg,"82,00","81,28","0,9"
Papa,Kg,"52,36","53,33","-1,8"
Cebolla,Kg,"56,45","57,81","-2,4"
Lechuga,Kg,"145,06","156,24","-7,2"
Tomate redondo,Kg,"161,55","106,90","51,1"
Zapallo anco,Kg,"55,73","54,60","2,1"
Tomate entero en conserva,Lata 230 g,"81,40","77,32","5,3"
Arvejas secas remojadas,Lata 220 g,"53,77","50,32","6,9"
Azúcar,Kg,"73,69","70,96","3,8"
Sal fina,500 g,"53,61","49,20","9,0"
Polvo para flan,8 porciones,"42,20","40,91","3,2"
Gaseosa base cola,"1,5 litros","132,05","126,68","4,2"
Agua sin gas,"1,5 litros","64,63","64,18","0,7"
Cerveza en botella,Litro,"137,60","137,77","-0,1"
Vino común,Litro,"138,99","121,42","14,5"
Café molido,500 g,"327,46","317,66","3,1"
Yerba mate,500 g,"203,38","190,03","7,0"
Jabón en polvo para ropa,800 g,"158,00","155,08","1,9"
Detergente líquido,750 cc,"91,11","88,24","3,3"
Jabón en pan,200 g,"55,20","52,79","4,6"
Lavandina,1.000 cc,"58,87","56,83","3,6"
Algodón,100 g,"110,38","103,47","6,7"
Champú,400 cc,"287,24","272,73","5,3"
Desodorante,150 cc,"199,71","194,67","2,6"
Jabón de tocador,125 g,"57,05","54,21","5,2"
Pañales descartables,10 u,"213,30","204,89","4,1"
12/20
""
