"",,,Precios,,Variación
"",Unidad de,,,,porcentual
Variedad,,,,,
"",medida,Julio,,Junio,respecto al mes
"",,de 2022,,de 2022,anterior
"",,,Pesos,,%
Pan francés tipo flauta,Kg,"327,39",,"311,80","5,0"
Pan de mesa,390 g,"279,78",,"266,79","4,9"
Galletitas dulces envasadas sin relleno,150 g,"94,17",,"89,50","5,2"
Galletitas de agua envasadas,250 g,"143,79",,"127,23","13,0"
Harina de trigo común 000,Kg,"107,06",,"95,24","12,4"
Arroz blanco simple,Kg,"137,75",,"136,95","0,6"
Fideos secos tipo guisero,500 g,"139,54",,"122,06","14,3"
Asado,Kg,"1.075,23",,"1.080,68","-0,5"
Carne picada común,Kg,"695,04",,"686,83","1,2"
Paleta,Kg,"1.058,20",,"1.051,39","0,6"
Cuadril,Kg,"1.255,97",,"1.267,03","-0,9"
Nalga,Kg,"1.340,45",,"1.344,26","-0,3"
Hamburguesas congeladas,Env. 4 u,"529,75",,"498,81","6,2"
Pollo entero,Kg,"367,61",,"356,69","3,1"
Filet de merluza fresco,Kg,"1.157,25",,"1.059,59","9,2"
Salchicha tipo Viena,Env. 6 u,"173,25",,"163,74","5,8"
Jamón cocido,Kg,"1.519,91",,"1.375,24","10,5"
Salchichón,Kg,"905,51",,"811,76","11,5"
Salame,kg,"1.875,71",,"1.719,12","9,1"
Aceite de girasol,"Bot. 1,5 litros","487,16",,"418,66","16,4"
Leche fresca entera en sachet,Litro,"142,42",,"132,51","7,5"
Leche en polvo entera,800 g,"986,62",,"934,99","5,5"
Queso cremoso,kg,"1.123,64",,"1.055,46","6,5"
Queso pategrás,kg,"1.959,49",,"1.833,78","6,9"
Queso sardo,kg,"2.098,14",,"1.985,82","5,7"
Manteca,200 g,"317,89",,"300,44","5,8"
Yogur firme,195 cc,"158,64",,"146,39","8,4"
Dulce de leche,400 g,"252,41",,"220,29","14,6"
Huevos de gallina,Docena,"305,61",,"272,46","12,2"
Manzana deliciosa,kg,"268,36",,"244,64","9,7"
Limón,kg,"95,63",,"100,93","-5,3"
Naranja,kg,"87,90",,"87,35","0,6"
Banana,kg,"221,22",,"188,45","17,4"
Batata,kg,"136,21",,"99,78","36,5"
Papa,kg,"91,32",,"86,64","5,4"
Cebolla,kg,"171,06",,"108,35","57,9"
Lechuga,kg,"493,37",,"351,13","40,5"
Tomate redondo,kg,"175,30",,"217,73","-19,5"
Zapallo anco,kg,"103,15",,"87,14","18,4"
Tomate entero en conserva,Lata 230 g,"113,37",,"107,42","5,5"
Arvejas secas remojadas,Lata 220 g,"75,46",,"69,87","8,0"
Azúcar,kg,"173,68",,"133,11","30,5"
Sal fina,500 g,"80,07",,"75,38","6,2"
Polvo para flan,8 porciones,"58,29",,"53,57","8,8"
Gaseosa base cola,"1,5 litros","189,10",,"178,42","6,0"
Agua sin gas,"1,5 litros","105,86",,"98,45","7,5"
Cerveza en botella,Litro,"238,42",,"218,09","9,3"
Vino común,Litro,"265,85",,"245,18","8,4"
Café molido,500 g,"823,71",,"761,90","8,1"
Yerba mate,500 g,"318,01",,"304,91","4,3"
Jabón en polvo para ropa,800 g,"277,15",,"248,94","11,3"
Detergente líquido,750 cc,"163,79",,"157,60","3,9"
Jabón en pan,200 g,"110,91",,"102,45","8,3"
Lavandina,1.000 cc,"106,55",,"96,76","10,1"
Algodón,100 g,"187,26",,"167,60","11,7"
Champú,400 cc,"474,06",,"438,16","8,2"
Desodorante,150 cc,"346,64",,"321,49","7,8"
Jabón de tocador,125 g,"116,38",,"105,14","10,7"
Pañales descartables,10 u,"299,65",,"282,88","5,9"
