"",,Pesos,%,
Pan francés tipo flauta,Kg,"188,62","185,12","1,9"
Pan de mesa,390 g,"158,18","153,82","2,8"
Galletitas dulces envasadas sin relleno,150 g,"65,52","64,46","1,6"
Galletitas de agua envasadas,250 g,"86,07","83,04","3,6"
Harina de trigo común 000,Kg,"53,55","52,71","1,6"
Arroz blanco simple,Kg,"117,36","111,74","5,0"
Fideos secos tipo guisero,500 g,"75,19","73,69","2,0"
Asado,Kg,"660,81","678,73","-2,6"
Carne picada común,Kg,"414,76","429,77","-3,5"
Paleta,Kg,"663,27","675,94","-1,9"
Cuadril,Kg,"788,91","791,63","-0,3"
Nalga,Kg,"837,00","827,70","1,1"
Hamburguesas congeladas,Env. 4 u,"302,61","289,96","4,4"
Pollo entero,Kg,"198,66","193,66","2,6"
Filet de merluza fresco,Kg,"672,27","653,02","2,9"
Salchicha tipo Viena,Env. 6 u,"109,96","104,69","5,0"
Jamón cocido,Kg,"892,69","855,68","4,3"
Salchichón,Kg,"540,80","516,23","4,8"
Salame,Kg,"1.161,44","1.113,77","4,3"
Aceite de girasol,"Bot. 1,5 litros","258,72","251,84","2,7"
Leche fresca entera en sachet,Litro,"86,70","84,92","2,1"
Leche en polvo entera,800 g,"580,41","549,38","5,6"
Queso cremoso,Kg,"679,38","672,43","1,0"
Queso pategrás,Kg,"1.211,34","1.218,01","-0,5"
Queso sardo,Kg,"1.262,17","1.220,52","3,4"
Manteca,200 g,"196,89","189,76","3,8"
Yogur firme,195 cc,"99,35","91,12","9,0"
Dulce de leche,400 g,"159,27","158,50","0,5"
Huevos de gallina,Docena,"147,68","146,48","0,8"
Manzana deliciosa,Kg,"163,07","166,23","-1,9"
Limón,Kg,"71,80","74,86","-4,1"
Naranja,Kg,"62,75","67,79","-7,4"
Banana,Kg,"132,04","123,00","7,3"
Batata,Kg,"82,54","82,00","0,7"
Papa,Kg,"50,19","52,36","-4,1"
Cebolla,Kg,"55,35","56,45","-1,9"
Lechuga,Kg,"142,43","145,06","-1,8"
Tomate redondo,Kg,"142,64","161,55","-11,7"
Zapallo anco,Kg,"56,98","55,73","2,2"
Tomate entero en conserva,Lata 230 g,"81,24","81,40","-0,2"
Arvejas secas remojadas,Lata 220 g,"55,57","53,77","3,3"
Azúcar,Kg,"75,68","73,69","2,7"
Sal fina,500 g,"52,90","53,61","-1,3"
Polvo para flan,8 porciones,"42,53","42,20","0,8"
Gaseosa base cola,"1,5 litros","132,89","132,05","0,6"
Agua sin gas,"1,5 litros","68,10","64,63","5,4"
Cerveza en botella,Litro,"139,07","137,60","1,1"
Vino común,Litro,"145,95","138,99","5,0"
Café molido,500 g,"362,07","327,46","10,6"
Yerba mate,500 g,"211,06","203,38","3,8"
Jabón en polvo para ropa,800 g,"159,63","158,00","1,0"
Detergente líquido,750 cc,"92,43","91,11","1,4"
Jabón en pan,200 g,"58,90","55,20","6,7"
Lavandina,1.000 cc,"60,66","58,87","3,0"
Algodón,100 g,"113,93","110,38","3,2"
Champú,400 cc,"298,39","287,24","3,9"
Desodorante,150 cc,"201,50","199,71","0,9"
Jabón de tocador,125 g,"58,41","57,05","2,4"
Pañales descartables,10 u,"220,06","213,30","3,2"
12/20
""
