"",,Pesos,%,
Pan francés tipo flauta,Kg,"190,09","188,62","0,8"
Pan de mesa,390 g,"163,33","158,18","3,3"
Galletitas dulces envasadas sin relleno,150 g,"67,36","65,52","2,8"
Galletitas de agua envasadas,250 g,"87,58","86,07","1,8"
Harina de trigo común 000,Kg,"56,83","53,55","6,1"
Arroz blanco simple,Kg,"115,14","117,36","-1,9"
Fideos secos tipo guisero,500 g,"75,34","75,19","0,2"
Asado,Kg,"664,99","660,81","0,6"
Carne picada común,Kg,"431,41","414,76","4,0"
Paleta,Kg,"656,04","663,27","-1,1"
Cuadril,Kg,"786,01","788,91","-0,4"
Nalga,Kg,"832,11","837,00","-0,6"
Hamburguesas congeladas,Env. 4 u,"313,43","302,61","3,6"
Pollo entero,Kg,"205,53","198,66","3,5"
Filet de merluza fresco,Kg,"695,68","672,27","3,5"
Salchicha tipo Viena,Env. 6 u,"119,06","109,96","8,3"
Jamón cocido,Kg,"921,94","892,69","3,3"
Salchichón,Kg,"588,99","540,80","8,9"
Salame,Kg,"1.190,83","1.161,44","2,5"
Aceite de girasol,"Bot. 1,5 litros","273,66","258,72","5,8"
Leche fresca entera en sachet,Litro,"93,73","86,70","8,1"
Leche en polvo entera,800 g,"593,73","580,41","2,3"
Queso cremoso,Kg,"703,28","679,38","3,5"
Queso pategrás,Kg,"1.258,78","1.211,34","3,9"
Queso sardo,Kg,"1.292,19","1.262,17","2,4"
Manteca,200 g,"199,04","196,89","1,1"
Yogur firme,195 cc,"102,44","99,35","3,1"
Dulce de leche,400 g,"172,29","159,27","8,2"
Huevos de gallina,Docena,"152,16","147,68","3,0"
Manzana deliciosa,Kg,"166,00","163,07","1,8"
Limón,Kg,"71,76","71,80","-0,1"
Naranja,Kg,"63,62","62,75","1,4"
Banana,Kg,"149,76","132,04","13,4"
Batata,Kg,"81,54","82,54","-1,2"
Papa,Kg,"51,18","50,19","2,0"
Cebolla,Kg,"53,57","55,35","-3,2"
Lechuga,Kg,"138,34","142,43","-2,9"
Tomate redondo,Kg,"172,20","142,64","20,7"
Zapallo anco,Kg,"74,08","56,98","30,0"
Tomate entero en conserva,Lata 230 g,"86,58","81,24","6,6"
Arvejas secas remojadas,Lata 220 g,"57,30","55,57","3,1"
Azúcar,Kg,"78,15","75,68","3,3"
Sal fina,500 g,"56,29","52,90","6,4"
Polvo para flan,8 porciones,"42,53","42,53","0,0"
Gaseosa base cola,"1,5 litros","133,78","132,89","0,7"
Agua sin gas,"1,5 litros","72,73","68,10","6,8"
Cerveza en botella,Litro,"151,40","139,07","8,9"
Vino común,Litro,"151,17","145,95","3,6"
Café molido,500 g,"401,04","362,07","10,8"
Yerba mate,500 g,"211,81","211,06","0,4"
Jabón en polvo para ropa,800 g,"162,97","159,63","2,1"
Detergente líquido,750 cc,"96,43","92,43","4,3"
Jabón en pan,200 g,"62,59","58,90","6,3"
Lavandina,1.000 cc,"64,63","60,66","6,5"
Algodón,100 g,"115,63","113,93","1,5"
Champú,400 cc,"295,82","298,39","-0,9"
Desodorante,150 cc,"216,17","201,50","7,3"
Jabón de tocador,125 g,"61,38","58,41","5,1"
Pañales descartables,10 u,"217,34","220,06","-1,2"
12/20
""
