"",,Pesos,%,
Pan francés tipo flauta,Kg,"197,99","190,09","4,2"
Pan de mesa,390 g,"168,08","163,33","2,9"
Galletitas dulces envasadas sin relleno,150 g,"67,70","67,36","0,5"
Galletitas de agua envasadas,250 g,"88,56","87,58","1,1"
Harina de trigo común 000,Kg,"59,29","56,83","4,3"
Arroz blanco simple,Kg,"116,74","115,14","1,4"
Fideos secos tipo guisero,500 g,"77,52","75,34","2,9"
Asado,Kg,"677,14","664,99","1,8"
Carne picada común,Kg,"430,85","431,41","-0,1"
Paleta,Kg,"648,93","656,04","-1,1"
Cuadril,Kg,"789,52","786,01","0,4"
Nalga,Kg,"837,30","832,11","0,6"
Hamburguesas congeladas,Env. 4 u,"310,70","313,43","-0,9"
Pollo entero,Kg,"208,68","205,53","1,5"
Filet de merluza fresco,Kg,"688,88","695,68","-1,0"
Salchicha tipo Viena,Env. 6 u,"121,35","119,06","1,9"
Jamón cocido,Kg,"962,82","921,94","4,4"
Salchichón,Kg,"625,33","588,99","6,2"
Salame,Kg,"1.251,44","1.190,83","5,1"
Aceite de girasol,"Bot. 1,5 litros","290,33","273,66","6,1"
Leche fresca entera en sachet,Litro,"93,28","93,73","-0,5"
Leche en polvo entera,800 g,"613,89","593,73","3,4"
Queso cremoso,Kg,"711,93","703,28","1,2"
Queso pategrás,Kg,"1.263,59","1.258,78","0,4"
Queso sardo,Kg,"1.318,84","1.292,19","2,1"
Manteca,200 g,"205,16","199,04","3,1"
Yogur firme,195 cc,"109,93","102,44","7,3"
Dulce de leche,400 g,"173,88","172,29","0,9"
Huevos de gallina,Docena,"153,69","152,16","1,0"
Manzana deliciosa,Kg,"172,07","166,00","3,7"
Limón,Kg,"74,42","71,76","3,7"
Naranja,Kg,"60,66","63,62","-4,7"
Banana,Kg,"174,87","149,76","16,8"
Batata,Kg,"82,07","81,54","0,6"
Papa,Kg,"52,86","51,18","3,3"
Cebolla,Kg,"56,67","53,57","5,8"
Lechuga,Kg,"158,74","138,34","14,7"
Tomate redondo,Kg,"209,56","172,20","21,7"
Zapallo anco,Kg,"99,38","74,08","34,2"
Tomate entero en conserva,Lata 230 g,"86,72","86,58","0,2"
Arvejas secas remojadas,Lata 220 g,"56,47","57,30","-1,4"
Azúcar,Kg,"78,87","78,15","0,9"
Sal fina,500 g,"55,68","56,29","-1,1"
Polvo para flan,8 porciones,"42,30","42,53","-0,5"
Gaseosa base cola,"1,5 litros","137,91","133,78","3,1"
Agua sin gas,"1,5 litros","74,53","72,73","2,5"
Cerveza en botella,Litro,"154,70","151,40","2,2"
Vino común,Litro,"151,76","151,17","0,4"
Café molido,500 g,"429,75","401,04","7,2"
Yerba mate,500 g,"217,35","211,81","2,6"
Jabón en polvo para ropa,800 g,"166,03","162,97","1,9"
Detergente líquido,750 cc,"98,65","96,43","2,3"
Jabón en pan,200 g,"64,15","62,59","2,5"
Lavandina,1.000 cc,"66,62","64,63","3,1"
Algodón,100 g,"118,69","115,63","2,6"
Champú,400 cc,"312,35","295,82","5,6"
Desodorante,150 cc,"217,14","216,17","0,4"
Jabón de tocador,125 g,"63,91","61,38","4,1"
Pañales descartables,10 u,"219,26","217,34","0,9"
12/19
""
