"",,Pesos,%,
Pan francés tipo flauta,Kg,"204,32","197,99","3,2"
Pan de mesa,390 g,"166,29","168,08","-1,1"
Galletitas dulces envasadas sin relleno,150 g,"69,55","67,70","2,7"
Galletitas de agua envasadas,250 g,"93,10","88,56","5,1"
Harina de trigo común 000,Kg,"59,37","59,29","0,1"
Arroz blanco simple,Kg,"114,43","116,74","-2,0"
Fideos secos tipo guisero,500 g,"76,95","77,52","-0,7"
Asado,Kg,"763,21","677,14","12,7"
Carne picada común,Kg,"479,86","430,85","11,4"
Paleta,Kg,"702,98","648,93","8,3"
Cuadril,Kg,"853,14","789,52","8,1"
Nalga,Kg,"913,00","837,30","9,0"
Hamburguesas congeladas,Env. 4 u,"309,05","310,70","-0,5"
Pollo entero,Kg,"217,62","208,68","4,3"
Filet de merluza fresco,Kg,"684,17","688,88","-0,7"
Salchicha tipo Viena,Env. 6 u,"121,75","121,35","0,3"
Jamón cocido,Kg,"1.021,65","962,82","6,1"
Salchichón,Kg,"641,87","625,33","2,6"
Salame,Kg,"1.252,23","1.251,44","0,1"
Aceite de girasol,"Bot. 1,5 litros","289,30","290,33","-0,4"
Leche fresca entera en sachet,Litro,"89,46","93,28","-4,1"
Leche en polvo entera,800 g,"615,91","613,89","0,3"
Queso cremoso,Kg,"716,80","711,93","0,7"
Queso pategrás,Kg,"1.279,42","1.263,59","1,3"
Queso sardo,Kg,"1.337,18","1.318,84","1,4"
Manteca,200 g,"203,11","205,16","-1,0"
Yogur firme,195 cc,"111,31","109,93","1,3"
Dulce de leche,400 g,"169,99","173,88","-2,2"
Huevos de gallina,Docena,"155,52","153,69","1,2"
Manzana deliciosa,Kg,"181,45","172,07","5,5"
Limón,Kg,"82,61","74,42","11,0"
Naranja,Kg,"65,72","60,66","8,3"
Banana,Kg,"172,60","174,87","-1,3"
Batata,Kg,"83,15","82,07","1,3"
Papa,Kg,"55,84","52,86","5,6"
Cebolla,Kg,"57,75","56,67","1,9"
Lechuga,Kg,"161,50","158,74","1,7"
Tomate redondo,Kg,"139,19","209,56","-33,6"
Zapallo anco,Kg,"99,58","99,38","0,2"
Tomate entero en conserva,Lata 230 g,"86,15","86,72","-0,7"
Arvejas secas remojadas,Lata 220 g,"57,02","56,47","1,0"
Azúcar,Kg,"79,26","78,87","0,5"
Sal fina,500 g,"55,38","55,68","-0,5"
Polvo para flan,8 porciones,"43,80","42,30","3,5"
Gaseosa base cola,"1,5 litros","140,48","137,91","1,9"
Agua sin gas,"1,5 litros","73,86","74,53","-0,9"
Cerveza en botella,Litro,"155,51","154,70","0,5"
Vino común,Litro,"156,12","151,76","2,9"
Café molido,500 g,"436,94","429,75","1,7"
Yerba mate,500 g,"216,60","217,35","-0,3"
Jabón en polvo para ropa,800 g,"170,63","166,03","2,8"
Detergente líquido,750 cc,"104,38","98,65","5,8"
Jabón en pan,200 g,"65,01","64,15","1,3"
Lavandina,1.000 cc,"67,05","66,62","0,6"
Algodón,100 g,"119,16","118,69","0,4"
Champú,400 cc,"305,48","312,35","-2,2"
Desodorante,150 cc,"217,59","217,14","0,2"
Jabón de tocador,125 g,"67,78","63,91","6,1"
Pañales descartables,10 u,"214,55","219,26","-2,1"
12/19
""
