Variedad;UM;CBA
Pan francés tipo flauta ;kg ;Si 
Pan de mesa ;390 g ;No 
Galletitas dulces envasadas sin relleno ;150 g ;Si 
Galletitas de agua envasadas ;250 g ;Si 
Harina de trigo común 000 ;k g ;Si 
Arroz blanco simple ;k g ;Si 
Fideos secos tipo guisero ;500 g ;Si 
Asado ;k g ;Si 
Carne picada común ;k g ;Si 
Paleta ;k g ;Si 
Cuadril ;k g ;No 
Nalga ;k g ;Si 
Hamburguesas congeladas ;Env. 4 u ;No 
Pollo entero ;k g ;Si 
Filet de merluza fresco ;k g ;Si 
Salchicha tipo Viena ;Env. 6 u ;No 
Jamón cocido ;k g ;No 
Salchichón ;k g ;No 
Salame ;k g ;Si 
Aceite de girasol ;Bot. 1,5 litros ;Si 
Leche fresca entera en sachet ;Litro ;Si 
Leche en polvo entera ;800 g ;No 
Queso cremoso ;k g ;Si 
Queso pategrás ;k g ;No 
Queso sardo ;k g ;No 
Manteca ;200 g ;Si 
Yogur firme ;195 cc ;Si 
Dulce de leche ;400 g ;Si 
Huevos de gallina ;Docena ;Si 
Manzana deliciosa ;k g ;Si 
Limón ;k g ;No 
Naranja ;k g ;Si 
Banana ;k g ;Si 
Batata ;kg ;Si 
Papa ;kg ;Si 
Cebolla ;kg ;Si 
Lechuga ;kg ;Si 
Tomate redondo ;kg ;No 
Zapallo anco ;kg ;Si 
Tomate entero en conserva ;Lata 230 g ;Si 
Arvejas secas remojadas ;Lata 220 g ;Si 
Azúcar ;kg ;Si 
Sal fina ;500 g ;Si 
Polvo para flan ;8 porciones ;No 
Gaseosa base cola ;1,5 litros ;Si 
Agua sin gas ;1,5 litros ;No 
Cerveza en botella ;Litro ;Si 
Vino común ;Litro ;Si 
Café molido ;500 g ;Si 
Yerba mate ;500 g ;Si 
